格林美,SZ002340,6.24
海澜之家,SH600398,11.87
雅百特,SZ002323,5.59
红旗连锁,SZ002697,5.58
四通新材,SZ300428,16.84
资源50,SH000092,2772.84
内地消费,SH000942,8701.91
中船科技,SH600072,10.56
绝味食品,SH603517,36.71
奋达科技,SZ002681,9.15
比音勒芬,SZ002832,57.88
中证上游,SH000961,2800.52
深成消费,SZ399684,1652.66
中证上游,SZ399961,2800.52
上海电气,SH601727,5.73
宜华健康,SZ000150,27.08
财信发展,SZ000838,5.01
A股资源,SH000805,4433.59
1000材料,SZ399382,2659.68
吉林森工,SH600189,7.21
杭萧钢构,SH600477,8.61
宜宾纸业,SH600793,21.65
桐昆股份,SH601233,24.53
百合花,SH603823,13.67
华侨城A,SZ000069,8.66
上证资源,SH000068,2167.82
成长40R,SZ399325,4384.32
亨通光电,SH600487,35.39
康美药业,SH600518,21.03
*ST运盛,SH600767,5.8
东方电子,SZ000682,4.36
金陵药业,SZ000919,7.96
泰嘉股份,SZ002843,15.94
雪浪环境,SZ300385,22.53
天能重工,SZ300569,20.25
长白山,SH603099,10.97
康尼机电,SH603111,11.65
中信国安,SZ000839,7.27
*ST郑煤,SH600121,5.15
广宇发展,SZ000537,13.23
同力水泥,SZ000885,14.65
美年健康,SZ002044,22.1
伟星新材,SZ002372,20.51
创力集团,SH603012,6.68
吉林化纤,SZ000420,2.95
科隆股份,SZ300405,13.31
天地科技,SH600582,4.48
华域汽车,SH600741,26.16
潍柴动力,SZ000338,8.19
胜利股份,SZ000407,5.98
如意集团,SZ002193,16.4
国证大宗,SZ399366,2290.8
深证F120,SZ399702,7027.08
*ST柳化,SH600423,4.49
天宸股份,SH600620,8.28
晨鸣B,SZ200488,12.8
中证可选,SH000931,5702.57
中证可选,SZ399931,5702.57
卧龙地产,SH600173,5.29
鹏欣资源,SH600490,7.54
青岛啤酒,SH600600,37.82
川投能源,SH600674,9.09
万科A,SZ000002,33.17
上证商品,SH000066,1955.43
380消费,SH000108,8363.26
大西洋,SH600558,5.33
辽宁成大,SH600739,17.5
深中华A,SZ000017,5.35
南兴装备,SZ002757,32.88
银之杰,SZ300085,11.45
耐威科技,SZ300456,28.18
深证成长,SZ399345,3223.16
深证消费,SZ399617,8250.4
深成材料,SZ399681,1125.73
中证白酒,SZ399997,5797.47
时代出版,SH600551,11.49
山西焦化,SH600740,12.24
帝龙文化,SZ002247,12.25
春兴精工,SZ002547,9.19
材料等权,SH000071,3259.96
深证责任,SZ399341,1677.23
读者传媒,SH603999,6.98
国轩高科,SZ002074,20.13
湖南黄金,SZ002155,8.53
爱康科技,SZ002610,2.32
东华测试,SZ300354,10.04
飞荣达,SZ300602,47.02
三星医疗,SH601567,9.32
恒天海龙,SZ000677,3.12
西安饮食,SZ000721,4.66
天康生物,SZ002100,8.02
普丽盛,SZ300442,17.84
长园集团,SH600525,14.83
深南电A,SZ000037,5.59
唐山港,SH601000,4.98
有色金属,SH000819,4918.51
京运通,SH601908,5.03
世纪星源,SZ000005,3.76
三花智控,SZ002050,18.78
易尚展示,SZ002751,34.5
鲁泰B,SZ200726,8.17
普利制药,SZ300630,65.4
标准股份,SH600302,5.06
国电南瑞,SH600406,15.8
四川双马,SZ000935,15.14
*ST河化,SZ000953,6.96
威尔泰,SZ002058,17.02
银河电子,SZ002519,6.33
广安爱众,SH600979,5.09
新泉股份,SH603179,31.13
古井贡酒,SZ000596,62.68
瑞康医药,SZ002589,13.31
铁汉生态,SZ300197,10.17
深证红利,SZ399324,9059.1
国证有色,SZ399395,4711.38
美尔雅,SH600107,12.14
河钢股份,SZ000709,3.84
深证F60,SZ399701,7490.31
海兴电力,SH603556,34.65
深证大宗,SZ399639,2374.76
中百集团,SZ000759,7.78
名雕股份,SZ002830,16.17
深成可选,SZ399683,1918.14
应流股份,SH603308,12.98
特发信息,SZ000070,8.46
和科达,SZ002816,14.99
花园生物,SZ300401,43.73
万林股份,SH603117,8.5
西山煤电,SZ000983,9.2
通富微电,SZ002156,9.8
弘亚数控,SZ002833,58.9
德生科技,SZ002908,24.93
开山股份,SZ300257,15.04
煤炭指数,SH000820,2893.08
中证材料,SH000929,3136.98
凌钢股份,SH600231,4.63
*ST新城,SZ000809,3.3
东方雨虹,SZ002271,40.16
奥佳华,SZ002614,19.15
上证材料,SH000033,2267.16
骆驼股份,SH601311,11.96
今世缘,SH603369,15.91
丽岛新材,SH603937,18.63
盛达矿业,SZ000603,11.96
细分有色,SH000811,5361.46
深证治理,SZ399327,4920.29
深报指数,SZ399351,7087.9
京山轻机,SZ000821,10.66
*ST中基,SZ000972,3.35
新纶科技,SZ002341,22.0
富瑞特装,SZ300228,9.36
内地资源,SH000944,2939.61
内地资源,SZ399944,2939.61
中证煤炭,SZ399998,1746.13
通源石油,SZ300164,6.07
*ST大控,SH600747,2.03
方大化工,SZ000818,11.48
鸿利智汇,SZ300219,11.52
380能源,SH000104,1558.53
招商银行,SH600036,31.37
洲际油气,SH600759,3.41
獐子岛,SZ002069,4.08
雪迪龙,SZ002658,10.2
常山药业,SZ300255,6.12
汇冠股份,SZ300282,18.42
300分层,SZ399981,6216.65
山东药玻,SH600529,19.18
福建水泥,SH600802,6.87
再升科技,SH603601,12.33
华平股份,SZ300074,8.24
国民技术,SZ300077,7.53
晨光生物,SZ300138,10.96
深消费50,SZ399646,7508.48
深证龙头,SZ399653,2197.78
深南电B,SZ200037,3.44
300等权,SZ399984,5701.99
新安股份,SH600596,11.81
